#Title	Text	Featured	YouTube	Instagram	InstagramReel
vid of 16 March 2025	mahabalipuram visit		-cUtoF4DKl8		
vid of 1 jan 2023	celebrations		kJmjzqby1fQ		
vid of 2 years ago	our people are farming		3h9RjIta7sU		
vid of 3 years ago	diwali celebration		TMe1ayvK-z8		
vid of 3 years ago	our people farming		sG7YNoV_g5g		
vid of 4 years ago	Rehabilitate 23 northindian Resident #Rajasthan TripðŸ˜Š		9b32eKzcwzc		
vid of 4 years ago	pongal celebration		IeFsHh9EBNQ		
vid of 4 years ago	Involvement		IeFsHh9EBNQ		
vid of 4 years ago	This is what inspires every dayðŸ˜Š	Y	_dnTtHmgAxk		
vid of 4 years ago	Patient active involvement		su-lqESafIk		
vid of 4 years ago	Power of physiotherapistðŸ˜Š	Y	Ige0Lq2BekY		
vid of 4 years ago	Anbagam farm		s8sZ2y39UJo		
vid of 4 years ago	Vocational training		l1t5Q-EXVgw		
vid of 4 years ago	Social responsibility		m_cZ_acIgpM		
vid of 4 years ago	Change of man life style		HPIEOmCYfZk		
vid of 10 years ago	ANBAGAM REHABILITATION CENTRE	Y	hS55FVzSjA8		
anbagam vichur	marigold			DKmhataRGAx	
trip	one day trip at temple			DKUbs4cRMjo	
anbagam otteri center	ladies home	Y		DKUbl16Rmaw	
token of love	appreciation make responsibility	Y		DJ1gAd3ywwr	
Activity	vocational training	Y		DJUATi4S0JV	Y